"koutb","koutn","k1b","k1n","k12b","k21b","k13b","k31b","k12n","k21n","A1","B1","n","A2","B2","n2"
0.00277622,0.003452592,0.000152903,0.00142660088391058,0.00328477,0.001079294,0.00212031,0.00012444,0.00424949,0.000636148,0.0001023,0.0001938,0.5,0.0001383,0.03212,0.8628
0.0025707,0.006246915,0.000167191,0.00155776924267261,0.002036801,0.001042647,0.001378228,9.24e-05,0.008506996,0.000788344,5.406e-05,0.0001932,0.6102,7.989e-05,0.03435,0.9429
0.001879354,0.004833544,0.000112091,0.00186317329719203,0.001684632,0.000787863,0.001501541,0.000135629,0.005919626,0.000671231,6.185e-05,0.0001947,0.5743,0.0001748,0.03601,0.8401
0.001903398,0.004876933,0.000163017,0.00186089784683992,0.001964618,0.000987879,0.001942323,0.000163231,0.006145799,0.000654548,7.313e-05,0.0001934,0.5585,0.0001702,0.03848,0.8528
0.001756214,0.004605066,0.000142786,0.00198574810910683,0.001577469,0.000907856,0.001335462,0.000136739,0.006627292,0.00088954,4.351e-05,0.0001934,0.6445,0.0002367,0.05203,0.8401
0.002016069,0.004537966,0.000242221,0.00184290942095572,0.002580863,0.001468241,0.001332107,0.000125129,0.006785896,0.000826042,8.592e-05,0.0001929,0.52,0.0001347,0.03288,0.874
0.002131898,0.005181288,0.000117045,0.00172042027043476,0.002018842,0.001305204,0.001764627,0.000157133,0.006263145,0.000681901,9.985e-05,0.0001927,0.5,0.0001927,0.0488,0.8552
0.001960506,0.003918633,0.000177623,0.0017991033513959,0.002338487,0.001437819,0.001485726,0.00013595,0.005653646,0.000745627,4.254e-05,0.000194,0.6415,0.0001686,0.04683,0.8715
0.001764348,0.004492732,0.000155155,0.00200267987948961,0.001610629,0.001083915,0.001370538,0.000131174,0.006837372,0.000986233,9.994e-05,0.0001949,0.5,0.0001149,0.03491,0.9016
0.002009409,0.004299512,0.000166864,0.00175982790639692,0.001650921,0.000556305,0.001690432,0.000144686,0.005098921,0.000704042,7.582e-05,0.0001934,0.5508,0.0001753,0.03945,0.8497
0.001878896,0.005276527,0.000223066,0.00182794896781307,0.002323288,0.001374894,0.001707063,0.0001508,0.00691756,0.000771768,8.109e-05,0.000192,0.5324,0.0001657,0.03822,0.8641
0.002286925,0.003971644,8.49e-05,0.00163498475183525,0.002602008,0.00095405,0.002061532,0.000150487,0.005805818,0.000909229,4.481e-05,0.0001932,0.6423,0.0002435,0.03851,0.801
0.001736778,0.004888887,0.000215526,0.00206336031475762,0.001942097,0.001177203,0.001495499,0.000157096,0.00707827,0.000849293,8.666e-05,0.0001933,0.5251,0.0001416,0.02615,0.8497
0.002358858,0.004541705,0.000149202,0.00159620516914493,0.002069262,0.000731109,0.001930284,0.00014049,0.005990348,0.000726199,7.588e-05,0.0001923,0.5481,0.0001341,0.03329,0.8842
0.002058219,0.004579373,0.000172937,0.00177574045852721,0.002031702,0.00112857,0.001790037,0.000161872,0.006264808,0.000812739,6.069e-05,0.000194,0.5859,9.444e-05,0.03928,0.9343
0.002328008,0.003654939,0.000113757,0.001598898045597,0.002392574,0.001370633,0.001616873,0.000119219,0.006345048,0.000926394,8.146e-05,0.0001933,0.5372,0.0002652,0.06447,0.8364
0.00204918,0.004287901,0.000161769,0.00172900994852259,0.002061446,0.000732954,0.001542932,0.000132876,0.007811686,0.000887789,9.461e-05,0.0001938,0.5,9.768e-05,0.05124,0.9505
0.002167908,0.005766332,0.000108013,0.0016954798283212,0.002335836,0.001005553,0.00211482,0.000173652,0.006877888,0.000678055,8.186e-05,0.0001924,0.5327,0.000148,0.03123,0.8623
0.002262101,0.004429624,0.000171701,0.00170174462879023,0.002392521,0.000741013,0.001851166,0.000159894,0.006197743,0.00078913,7e-05,0.0001916,0.5664,0.0001361,0.03033,0.8656
0.002077943,0.00506938,0.000181534,0.00173663632876678,0.00181757,0.000664323,0.001438721,0.000118866,0.006013427,0.00063816,5.171e-05,0.000193,0.6163,0.0002084,0.03331,0.8106
0.002206382,0.005931817,0.00017306,0.00171271959870578,0.002356484,0.001071208,0.001557928,0.000128035,0.006449693,0.000709502,7.293e-05,0.0001948,0.5513,0.000238,0.04467,0.8381
0.002313099,0.004438227,0.000113463,0.00159699256488249,0.00233215,0.001200478,0.002178984,0.000172094,0.004909712,0.00063914,7.034e-05,0.0001929,0.5606,0.0001703,0.03923,0.8644
0.002292194,0.004672346,0.000171406,0.00163649280507702,0.00222713,0.000914849,0.00145024,0.000112663,0.004834384,0.000560001,7.566e-05,0.0001932,0.5491,0.0003785,0.0601,0.7843
0.001857977,0.004197529,0.000190881,0.00185497767509153,0.00171805,0.000745386,0.001822339,0.000172332,0.005011502,0.000627062,4.172e-05,0.0001926,0.6517,0.0001025,0.0267,0.8805
0.001749786,0.004193679,0.00016982,0.00194540034933089,0.001503276,0.000793669,0.001444452,0.000141527,0.005673193,0.000824523,9.924e-05,0.0001941,0.5,0.0002272,0.04639,0.8262
0.002016491,0.004169072,0.000147879,0.00182653173168001,0.002032486,0.000900936,0.001506345,0.000129917,0.006509257,0.000820737,4.498e-05,0.0001932,0.6465,0.0001501,0.04395,0.873
0.00204782,0.004360543,9.48e-05,0.00176450434730673,0.002066111,0.001136692,0.001906478,0.000171867,0.004806951,0.0006882,4.692e-05,0.0001945,0.6355,0.0001355,0.03401,0.8662
0.002367147,0.004713992,0.000131312,0.00162121806045076,0.002627399,0.001445388,0.001872167,0.00013024,0.006753977,0.000735211,7.723e-05,0.000196,0.544,0.0001983,0.05938,0.8748
0.002462594,0.004915472,0.000184288,0.00158555709871802,0.002931943,0.001114587,0.001578862,0.000112488,0.007311335,0.000840977,4.617e-05,0.0001923,0.6331,7.529e-05,0.05153,0.9941
0.001653114,0.004195736,0.000204762,0.00201161325726299,0.001518231,0.001135689,0.001335351,0.000139855,0.004895898,0.000652737,0.0001043,0.0001947,0.5,0.0001599,0.03779,0.8588
0.001831471,0.004597792,0.000157046,0.00184870929556025,0.00204386,0.001463301,0.00156222,0.000139978,0.005412902,0.000678671,5.06e-05,0.0001935,0.6317,0.0001629,0.038,0.8751
0.001763951,0.004663055,0.000200648,0.00193639894219346,0.002143487,0.001033064,0.001610287,0.0001628,0.006015861,0.000739131,6.403e-05,0.0001924,0.579,0.0002008,0.0346,0.8246
0.00245434,0.004560274,0.000156536,0.00158529112614504,0.002953235,0.001073371,0.001921444,0.000140332,0.006778263,0.000791,5.518e-05,0.0001931,0.6093,0.0001721,0.05253,0.8689
0.002377948,0.004750731,9.66e-05,0.00164051738544135,0.001977117,0.000745935,0.001519536,0.000119424,0.007006755,0.00091017,3.295e-05,0.0001935,0.6939,0.000178,0.04434,0.871
0.002139578,0.004243437,0.000143418,0.00171181845799113,0.001892187,0.000802234,0.001679287,0.000155867,0.005787204,0.000679366,6.162e-05,0.0001935,0.588,0.0001704,0.03259,0.835
0.002285554,0.004710981,0.00018485,0.00164223269992357,0.002346022,0.000764404,0.001753159,0.000127275,0.007914404,0.000967077,9.738e-05,0.0001926,0.5,8.557e-05,0.02719,0.9187
0.002490265,0.005047546,0.000136626,0.00161156989007008,0.002325978,0.001111191,0.001944646,0.000139505,0.005586487,0.000667508,8.175e-05,0.000193,0.5347,0.0002356,0.03495,0.7913
0.0020933,0.003545286,0.000162503,0.00171890501866548,0.00230242,0.001209621,0.001727082,0.000146601,0.004483699,0.00070557,3.308e-05,0.0001938,0.6924,0.0001706,0.04002,0.8488
0.002035685,0.005070206,0.000183791,0.00178861454671931,0.00194741,0.000791628,0.001761395,0.000167676,0.006542963,0.000772859,8.837e-05,0.0001938,0.5156,0.0001903,0.04223,0.8487
0.002309213,0.004539662,0.000152582,0.00162386697380494,0.00220215,0.001012046,0.001711595,0.00012391,0.005555569,0.000689461,8.037e-05,0.0001923,0.5396,0.0001171,0.04133,0.9073
0.001927187,0.005104452,0.0001834,0.00185275619592719,0.002282637,0.000942457,0.001598174,0.000144754,0.007741683,0.000849495,5.753e-05,0.0001935,0.5973,0.0001567,0.04121,0.8736
0.00216794,0.004453387,0.000135949,0.00165812904283617,0.002353146,0.001193088,0.00181791,0.000137945,0.006420217,0.000788339,4.24e-05,0.0001937,0.647,0.0001652,0.04601,0.8755
0.001579226,0.005939228,0.000199129,0.0020796596095501,0.001653954,0.000832526,0.001580732,0.000177981,0.006963892,0.000788375,9.603e-05,0.0001929,0.5123,0.0002289,0.05348,0.8383
0.002005933,0.00437889,0.000114477,0.00178217017581473,0.002060209,0.001491587,0.001708351,0.00015527,0.005337477,0.000691097,7.31e-05,0.0001954,0.5566,0.0002463,0.03908,0.7953
0.002806904,0.003972217,7.07e-05,0.00148794152718496,0.002589305,0.000764155,0.002214992,0.000133846,0.006385347,0.00083337,6.863e-05,0.0001924,0.5629,0.0001299,0.03276,0.8758
0.001814103,0.004544279,0.000181081,0.00189556269835128,0.001659059,0.000669464,0.00135723,0.000125481,0.006935959,0.000935611,3.73e-05,0.0001938,0.674,0.0001866,0.06203,0.8854
0.002658571,0.004333515,0.00021404,0.00151722183411981,0.002386824,0.001068693,0.002315635,0.000150009,0.005189501,0.000685864,4.998e-05,0.000193,0.6279,0.0001514,0.03888,0.8765
