kout,k12,k13,k21,k31,A1,B1,n,A2,B2,n2
0.001968959,0.003185218,0.003310364,0.00224227,0.000238849,3.51E-05,0.003443,0.8498,0.0001703,0.03923,0.8644
0.002527019,0.002894802,0.003595735,0.002255875,0.000208717,3.36E-05,0.003251,0.8527,0.0003785,0.0601,0.7843
0.001617175,0.005291926,0.003388275,0.002114502,0.000250122,3.63E-05,0.0036,0.8538,0.0001025,0.0267,0.8805
0.001633668,0.00348508,0.003488889,0.00290119,0.000199902,3.72E-05,0.003544,0.8456,0.0002272,0.04639,0.8262
0.002109868,0.003565587,0.003626169,0.002910064,0.000253336,3.93E-05,0.003718,0.8436,0.0001501,0.04395,0.873
0.002114926,0.002813617,0.004367021,0.006635941,0.000220788,3.76E-05,0.003364,0.8415,0.0001355,0.03401,0.8662
0.001966067,0.002943882,0.00330319,0.00222022,0.000227389,3.91E-05,0.003581,0.8415,0.0001983,0.05938,0.8748
0.001885418,0.003777107,0.003506433,0.002315955,0.000238702,4.27E-05,0.003763,0.8305,7.53E-05,0.05153,0.9941
0.002270518,0.003690976,0.003653871,0.003016722,0.000226851,3.77E-05,0.003637,0.8483,0.0001599,0.03779,0.8588
0.001975916,0.003360166,0.004800868,0.001873341,0.000225911,3.95E-05,0.003235,0.8246,0.0001629,0.038,0.8751
0.001901481,0.002786543,0.00317122,0.001765552,0.00024985,3.48E-05,0.003696,0.866,0.0002008,0.0346,0.8246
0.001870332,0.00364792,0.004014379,0.001977323,0.000222014,3.77E-05,0.003397,0.8413,0.0001721,0.05253,0.8689
0.001749992,0.002718035,0.003485679,0.002061244,0.000215498,3.00E-05,0.003308,0.8765,0.000178,0.04434,0.871
0.001711597,0.00288987,0.003202172,0.001820664,0.000188256,3.51E-05,0.003501,0.8589,0.0001704,0.03259,0.835
0.001706056,0.002613391,0.003228413,0.001981422,0.000260709,4.30E-05,0.00337,0.8099,8.56E-05,0.02719,0.9187
0.00179952,0.002288781,0.00396731,0.002392467,0.00022752,3.48E-05,0.003764,0.8705,0.0002356,0.03495,0.7913
