A1,B1,n
0.0002104,0.0328,0.8052
0.0002007,0.04398,0.8508
0.0001816,0.0344,0.8253
0.0001918,0.02763,0.796
0.0003431,0.03631,0.7511
0.0001072,0.03914,0.9199
0.0003009,0.05565,0.8045
9.454e-05,0.0575,0.9658
0.0001722,0.04714,0.862
0.0001634,0.02737,0.8288
0.0002581,0.04586,0.8061
0.0001076,0.03956,0.9218
0.0001042,0.03957,0.9243
0.0001673,0.04305,0.8681
0.0001787,0.05358,0.8792
0.0002129,0.05276,0.8551
0.0002689,0.04485,0.7928
0.0001465,0.03936,0.8779
0.0001529,0.02771,0.8433
0.0002174,0.03981,0.8135
0.000142,0.03567,0.87
8.235e-05,0.04168,0.9583
0.0001538,0.02112,0.8295
0.0001342,0.03445,0.8771
0.000164,0.03983,0.866
6.963e-05,0.03431,0.9705
0.0001403,0.031,0.8678
0.0001101,0.05755,0.9584
0.0001123,0.03278,0.893
0.0002422,0.03911,0.8138
8.563e-05,0.02852,0.9116
0.0001628,0.04843,0.8854
0.0001007,0.03862,0.9256
0.0002062,0.04539,0.8398
0.0001367,0.02775,0.852
0.0002081,0.04878,0.8469
0.0002582,0.06015,0.8394
0.0001925,0.03153,0.8081
0.0001697,0.04684,0.8727
9.639e-05,0.03561,0.9258
0.0002146,0.02917,0.7891
9.942e-05,0.02653,0.9036
0.000142,0.0413,0.8877
0.0001141,0.04168,0.9089
0.0002492,0.05649,0.8484
8.559e-05,0.02268,0.9133
9.912e-05,0.03452,0.9221
0.0001753,0.02775,0.8119
0.0001676,0.04654,0.8695
0.000175,0.06323,0.8989
0.00026,0.04716,0.8114
9.127e-05,0.02342,0.8945
0.0002874,0.04765,0.7943
0.0001537,0.03987,0.8761
0.0001022,0.02641,0.8986
0.0001867,0.03073,0.8226
0.0001817,0.04002,0.8521
0.0001464,0.03422,0.8733
0.0001877,0.05119,0.8663
0.0003358,0.04502,0.7704
0.0001855,0.0469,0.8618
0.0001429,0.04141,0.8948
0.0003414,0.03757,0.7516
0.0001081,0.03331,0.9007
9.094e-05,0.03343,0.927
0.0002883,0.04375,0.7853
7.863e-05,0.02719,0.9327
0.0002899,0.07954,0.8513
0.0002079,0.04684,0.8516
0.0001868,0.04601,0.868
0.0001359,0.03481,0.883
0.0001903,0.03989,0.8357
0.0002202,0.04948,0.8418
0.0001036,0.03375,0.9033
9.918e-05,0.03299,0.9134
0.0001602,0.05014,0.8823
0.0001415,0.04056,0.8831
0.000135,0.03282,0.8698
0.0001462,0.047,0.8925
0.0001584,0.03913,0.8633
9.889e-05,0.02784,0.9056
0.0001189,0.03937,0.9021
8.652e-05,0.04044,0.9535
0.0002851,0.05298,0.8167
0.0001585,0.0378,0.8554
0.0003111,0.06,0.8135
0.0001082,0.03995,0.9105
0.0001393,0.04047,0.884
0.0002104,0.03981,0.8095
0.0003303,0.05175,0.7854
0.0001669,0.04273,0.865
0.0002106,0.04507,0.8376
0.0001482,0.0476,0.8946
5.533e-05,0.0341,1.003
0.0002059,0.04769,0.8475
0.0003948,0.04528,0.7457
0.0001205,0.02863,0.8734
0.0001768,0.03476,0.834
0.0002097,0.06377,0.8606
0.0002086,0.04139,0.8177
0.0002165,0.04107,0.8174
0.0002725,0.05226,0.818
0.0002055,0.04038,0.8355
