Kon,Koff,n
3.889e-06,0.001824,0.7858
9.198e-06,0.00242,0.6992
8.128e-06,0.002015,0.7013
1.003e-05,0.002434,0.6727
2.046e-05,0.002097,0.5736
7.171e-06,0.002615,0.7464
3.174e-06,0.001874,0.8232
1.774e-05,0.002107,0.6007
2.633e-05,0.002047,0.5307
1.646e-05,0.002341,0.6139
3.669e-06,0.001634,0.7782
1.427e-05,0.002167,0.6368
9.985e-06,0.001937,0.6707
6.381e-06,0.002329,0.7572
1.381e-05,0.001592,0.5885
2.441e-06,0.002048,0.8772
7.473e-06,0.002073,0.7115
5.358e-06,0.002011,0.7586
1.701e-06,0.002275,0.9263
9.876e-06,0.002208,0.6975
1.081e-05,0.002285,0.6742
9.115e-06,0.002143,0.6978
1.171e-05,0.002017,0.6402
5.112e-06,0.001797,0.7454
5.248e-06,0.002253,0.7802
8.083e-06,0.001827,0.6867
6.839e-06,0.001815,0.7172
4.005e-06,0.002056,0.814
1.188e-05,0.001807,0.6294
7.815e-06,0.001874,0.6974
1.808e-05,0.00206,0.5897
1.202e-05,0.002045,0.6411
4.608e-06,0.002393,0.7978
1.273e-05,0.002065,0.6274
2.278e-05,0.002255,0.5572
3.508e-06,0.002186,0.8271
3.439e-06,0.001953,0.8238
5.846e-06,0.002344,0.7653
5.673e-06,0.002213,0.7566
5.519e-06,0.002033,0.7517
1.998e-05,0.001875,0.5703
1.153e-05,0.002182,0.6549
1.198e-05,0.002303,0.6663
3.113e-06,0.002376,0.842
1.25e-05,0.001888,0.6255
1.521e-05,0.001664,0.596
2.543e-06,0.001754,0.8488
5.52e-06,0.002466,0.7659
7.811e-06,0.00215,0.7117
5.626e-06,0.001993,0.7514
8.762e-06,0.001877,0.6831
6.178e-06,0.002106,0.731
9.86e-06,0.002173,0.6813
6.367e-06,0.002588,0.7533
1.222e-05,0.001941,0.6465
2.403e-05,0.002409,0.5576
8.241e-06,0.002326,0.7136
4.399e-06,0.00214,0.7856
3.716e-06,0.002248,0.8166
7.821e-06,0.002113,0.7028
9.133e-06,0.00224,0.7041
1.009e-05,0.001816,0.6529
8.807e-06,0.002489,0.7208
3.061e-05,0.002023,0.5167
1.243e-05,0.002356,0.6466
1.262e-05,0.002025,0.6311
1.982e-05,0.001933,0.5673
2.004e-06,0.002099,0.914
6.321e-06,0.002078,0.7297
1.561e-05,0.002463,0.6275
2.805e-05,0.001798,0.5177
1.821e-06,0.002111,0.9165
1.816e-05,0.002115,0.5938
2.561e-05,0.001708,0.5184
2.218e-05,0.002249,0.5567
2.054e-05,0.001974,0.5583
9.29e-06,0.001846,0.6704
1.146e-05,0.002252,0.647
2.564e-06,0.002144,0.8811
1.865e-05,0.002226,0.6004
1.315e-05,0.002285,0.6526
7.158e-06,0.001962,0.7149
3.398e-06,0.002284,0.8315
1.549e-05,0.00152,0.5791
3.238e-06,0.002077,0.8357
5.148e-06,0.001968,0.7537
5.707e-06,0.002105,0.7522
7.389e-06,0.002015,0.7058
1.246e-05,0.002527,0.6581
5.655e-06,0.002178,0.7494
9.525e-06,0.001777,0.6571
6.998e-06,0.002081,0.7241
1.502e-05,0.002309,0.6311
4.433e-06,0.00239,0.7953
6.226e-06,0.001917,0.739
8.017e-06,0.002659,0.7339
1.017e-05,0.002096,0.6793
1.968e-05,0.001986,0.5752
6.104e-06,0.001956,0.7461
6.775e-06,0.002303,0.7355
5.331e-06,0.002349,0.7818
8.818e-06,0.002101,0.6903
4.506e-06,0.002011,0.7876
7.775e-06,0.002379,0.7154
1.234e-05,0.001863,0.6206
1.449e-06,0.001861,0.9269
8.502e-06,0.002264,0.7092
2.407e-05,0.002633,0.5681
7.004e-06,0.001962,0.7103
6.225e-06,0.002387,0.7552
6.597e-06,0.001983,0.7325
8.815e-06,0.001975,0.6968
6.58e-06,0.002113,0.7396
5.251e-06,0.00269,0.7737
1.339e-05,0.002177,0.6441
4.943e-06,0.002043,0.768
5.871e-06,0.001789,0.7348
5.309e-06,0.002115,0.764
1.487e-05,0.002945,0.6499
9.404e-06,0.001673,0.6463
3.964e-06,0.00212,0.7934
1.35e-05,0.002133,0.6279
8.056e-06,0.002155,0.7194
2.972e-06,0.002516,0.8665
1.364e-05,0.002152,0.6338
4.516e-06,0.001854,0.7704
1.916e-05,0.002174,0.5791
7.066e-06,0.002391,0.7285
4.898e-06,0.002304,0.794
6.849e-06,0.002109,0.7294
1.303e-05,0.002275,0.6397
1.731e-05,0.001731,0.5719
8.097e-06,0.002186,0.714
2.977e-05,0.001756,0.5
7.511e-06,0.002125,0.7082
5.854e-06,0.002256,0.749
2.652e-05,0.001946,0.5288
4.21e-06,0.002536,0.8203
6.861e-06,0.002204,0.7359
3.756e-06,0.001927,0.8028
4.992e-06,0.002358,0.7831
4.663e-06,0.00223,0.7922
2.692e-05,0.002022,0.5302
5.709e-06,0.001958,0.7437
3.885e-06,0.002148,0.8144
1.185e-05,0.002171,0.6534
1.285e-05,0.002268,0.6441
2.651e-06,0.002023,0.8536
5.338e-06,0.001835,0.7566
1.113e-05,0.001972,0.6551
7.21e-06,0.002215,0.7141
1.452e-05,0.001913,0.6125
1.46e-05,0.001792,0.602
1.239e-05,0.002752,0.6775
1.139e-05,0.002124,0.6603
9.327e-06,0.002187,0.6962
1.022e-05,0.002254,0.6882
4.425e-06,0.002363,0.8028
1.716e-05,0.002281,0.5971
8.338e-06,0.002057,0.7071
6.241e-06,0.002204,0.7478
1.239e-05,0.00251,0.6575
1.624e-05,0.001954,0.5977
6.214e-06,0.002227,0.7389
3.113e-06,0.001914,0.8357
3.899e-06,0.002085,0.8125
5.837e-06,0.002049,0.7565
6.059e-06,0.002735,0.7753
5.607e-06,0.002151,0.7498
1.815e-05,0.002322,0.6022
3.888e-06,0.001975,0.8147
3.431e-05,0.002179,0.5
1.684e-05,0.001852,0.583
1.882e-05,0.002119,0.5918
6.733e-06,0.002219,0.7484
4.765e-06,0.001824,0.7701
6.788e-06,0.001798,0.7116
2.421e-05,0.002014,0.5405
5.543e-06,0.00197,0.7502
4.417e-06,0.001815,0.7784
8.511e-06,0.002147,0.7036
2.391e-05,0.002209,0.5496
1.467e-05,0.001997,0.6201
9.686e-06,0.001865,0.6664
3.202e-06,0.002327,0.8492
2.599e-06,0.001896,0.848
8.472e-06,0.002013,0.6839
3.616e-06,0.001913,0.8034
3.968e-06,0.001939,0.7941
3.485e-06,0.001848,0.8021
3.08e-06,0.001993,0.8344
5.398e-06,0.002185,0.7619
5.609e-06,0.002041,0.757
4.502e-06,0.002069,0.7798
1.25e-05,0.002234,0.649
