Kon,Koff,n
2.452e-05,0.003813,0.8748
4.524e-05,0.004259,0.7659
4.057e-05,0.004129,0.7916
4.354e-05,0.004769,0.7997
2.919e-05,0.00442,0.8469
3.064e-05,0.004131,0.8179
3.658e-05,0.00479,0.8073
5.015e-05,0.00446,0.7546
6.289e-05,0.004092,0.7347
4.75e-05,0.004879,0.7702
1.891e-05,0.004208,0.9398
2.854e-05,0.004478,0.8648
2.462e-05,0.00434,0.8933
2.807e-05,0.004189,0.853
2.628e-05,0.004032,0.8619
1.809e-05,0.004314,0.9304
2.397e-05,0.005253,0.8685
2.404e-05,0.004295,0.8817
6.179e-05,0.005472,0.7439
4.441e-05,0.00427,0.8079
1.082e-05,0.00409,1.014
5.541e-05,0.004748,0.7529
6.967e-05,0.0041,0.6908
2.268e-05,0.00408,0.8824
2.513e-05,0.004018,0.8617
8.28e-05,0.004734,0.6568
1.852e-05,0.004128,0.9212
8.251e-05,0.004954,0.7042
3.808e-05,0.004209,0.8136
3.45e-05,0.003974,0.8146
4.762e-05,0.004436,0.7778
3.729e-05,0.004945,0.8113
2.801e-05,0.003811,0.8524
4.214e-05,0.004267,0.7721
2.986e-05,0.004621,0.8414
2.921e-05,0.004653,0.8447
5.431e-05,0.004342,0.7475
2.211e-05,0.004744,0.8978
4.807e-05,0.004619,0.7668
7.547e-05,0.004602,0.7074
4.7e-05,0.004705,0.7859
6.578e-05,0.004764,0.7254
2.673e-05,0.004386,0.859
8.562e-05,0.004592,0.6793
3.163e-05,0.003795,0.8405
2.381e-05,0.003911,0.8823
3.325e-05,0.004564,0.8355
4.485e-05,0.004605,0.7883
3.207e-05,0.004389,0.8191
1.97e-05,0.003778,0.9332
2.772e-05,0.004224,0.8509
2.601e-05,0.004038,0.8699
6.248e-05,0.004084,0.7135
2.037e-05,0.003799,0.9152
9.089e-05,0.004704,0.6805
0.0001628,0.004302,0.5407
6.607e-05,0.00505,0.7271
5.04e-05,0.004733,0.7734
4.767e-05,0.004679,0.7814
1.641e-05,0.003939,0.9512
3.176e-05,0.00421,0.845
2.345e-05,0.004096,0.8962
7.38e-05,0.004553,0.7046
3.067e-05,0.00447,0.8445
6.882e-05,0.004168,0.6947
2.504e-05,0.004085,0.8863
1.828e-05,0.004744,0.9167
4.671e-05,0.004779,0.8005
2.187e-05,0.004061,0.9022
8.121e-05,0.003996,0.6544
1.297e-05,0.003991,0.9747
3.302e-05,0.005038,0.8334
2.458e-05,0.00407,0.8699
2.681e-05,0.003841,0.8628
5.168e-05,0.004367,0.7367
4.567e-05,0.004444,0.7551
2.582e-05,0.004172,0.8588
5.86e-05,0.004446,0.7232
1.94e-05,0.004171,0.9031
1.535e-05,0.00419,0.9611
1.041e-05,0.003959,1.017
6.429e-06,0.003986,1.11
2.049e-05,0.003856,0.9158
8.719e-05,0.004841,0.6564
2.51e-05,0.004374,0.8642
8.994e-05,0.004362,0.6512
8e-05,0.004156,0.6624
6.3e-05,0.004039,0.7217
8.586e-05,0.004633,0.6745
3.017e-05,0.004026,0.856
5.928e-05,0.004736,0.7411
2.897e-05,0.004732,0.8371
2.409e-05,0.00411,0.8909
2.865e-05,0.004638,0.8453
3.033e-05,0.004238,0.8367
3.705e-05,0.004417,0.8002
2.772e-05,0.004231,0.8778
2.018e-05,0.004322,0.9199
1.253e-05,0.004386,1.012
3.615e-05,0.00451,0.8231
2.729e-05,0.004398,0.8704
2.376e-05,0.004049,0.8662
3.236e-05,0.004342,0.8538
3.084e-05,0.004432,0.8408
3.238e-05,0.00436,0.8454
1.717e-05,0.003757,0.9346
2.711e-05,0.004803,0.8646
4.318e-05,0.004625,0.7918
1.974e-05,0.004335,0.9134
2.144e-05,0.004516,0.9115
3.914e-05,0.004178,0.7887
3.417e-05,0.004596,0.7932
2.929e-05,0.004128,0.8473
1.559e-05,0.004922,0.9846
2.092e-05,0.004298,0.9304
3.833e-05,0.004461,0.8115
4.293e-05,0.004459,0.7905
3.441e-05,0.003879,0.8285
4.973e-05,0.005062,0.7777
7.429e-05,0.004574,0.6971
1.479e-05,0.004301,0.9505
4.515e-05,0.004364,0.7765
1.047e-05,0.003987,1.031
2.517e-05,0.003998,0.8689
2.155e-05,0.004173,0.8892
1.379e-05,0.004321,0.9562
2.888e-05,0.004412,0.8398
6.411e-05,0.004208,0.7373
1.551e-05,0.003924,0.9566
7.736e-05,0.004837,0.7014
6.643e-06,0.003671,1.091
4.279e-05,0.00428,0.7981
1.561e-05,0.004243,0.9556
7.221e-05,0.004396,0.6808
5.836e-05,0.004652,0.7242
2.173e-05,0.004448,0.9101
3.908e-05,0.004549,0.8113
2.477e-05,0.004077,0.903
2.561e-05,0.004814,0.8684
5.616e-05,0.004139,0.7256
5.802e-05,0.00468,0.7278
3.927e-05,0.004044,0.7826
2.799e-05,0.004255,0.8668
1.049e-05,0.003785,1.021
7.246e-05,0.004415,0.6901
1.446e-05,0.004906,0.9633
7.703e-05,0.004469,0.6922
2.714e-05,0.004395,0.8656
7.461e-05,0.004508,0.6806
1.382e-05,0.004265,0.9759
6.195e-05,0.004833,0.7296
2.146e-05,0.004218,0.8896
3.183e-05,0.004427,0.8311
0.0001171,0.004559,0.5933
1.663e-05,0.003893,0.9224
6.396e-06,0.00377,1.111
2.1e-05,0.004286,0.9004
3.642e-05,0.004475,0.8189
3.2e-05,0.004621,0.8395
2.357e-05,0.003876,0.8864
1.992e-05,0.004266,0.9028
6.8e-05,0.004585,0.7071
6.05e-05,0.004948,0.7442
3.419e-05,0.004753,0.8261
1.384e-05,0.003814,0.9855
4.404e-05,0.004292,0.7704
2.477e-05,0.004648,0.8873
7.519e-05,0.004398,0.6587
2.234e-05,0.004598,0.9026
3.467e-05,0.004372,0.8192
7.601e-05,0.003985,0.6868
2.151e-05,0.004193,0.9089
3.663e-05,0.003937,0.8143
6.223e-05,0.004219,0.7321
2.653e-05,0.004214,0.8686
3.683e-05,0.004524,0.8001
8.219e-06,0.004096,1.07
4.332e-05,0.004624,0.8031
4.818e-05,0.005105,0.779
2.56e-05,0.004005,0.888
2.128e-05,0.004136,0.8945
1.376e-05,0.00443,0.9682
3.334e-05,0.004334,0.8477
4.563e-05,0.004877,0.7826
3.097e-05,0.00386,0.8437
1.688e-05,0.004505,0.9384
1.103e-05,0.003847,0.995
2.553e-05,0.004227,0.8742
2.16e-05,0.00404,0.9021
0.0001256,0.004923,0.6186
4.766e-05,0.004378,0.7663
1.715e-05,0.004016,0.9368
2.504e-05,0.003671,0.8788
5.499e-05,0.004334,0.7333
2.039e-05,0.004662,0.9161
1.801e-05,0.004396,0.9455
4.789e-05,0.004101,0.7789
2.364e-05,0.004529,0.8959
3.054e-05,0.00416,0.8487
2.428e-05,0.003839,0.89
3.094e-05,0.004579,0.8518
1.935e-05,0.004533,0.9129
2.792e-05,0.004133,0.8619
4.947e-05,0.004903,0.7695
6.517e-05,0.004942,0.7312
