Kon (pM^-n)*s^-1,Koff (s^-1),n
1.307e-05,0.0002406,0.9785
1.095e-05,0.000253,1.009
1.031e-05,0.0002535,1.026
7.893e-06,0.000227,1.072
1.159e-05,0.000276,0.9903
9.119e-06,0.0002171,1.035
9.249e-06,0.0002437,1.044
9.878e-06,0.0002345,1.021
1.015e-05,0.0002456,1.017
8.583e-06,0.0002669,1.063
9.608e-06,0.0002522,1.032
1.32e-05,0.0002529,0.9727
1.356e-05,0.0002501,0.9653
1.331e-05,0.000261,0.9733
1.328e-05,0.0002372,0.9888
8.951e-06,0.0002256,1.042
8.913e-06,0.0002616,1.049
1.031e-05,0.0002423,1.015
9.715e-06,0.0002358,1.036
8.233e-06,0.0002423,1.059
8.371e-06,0.0002507,1.05
1.076e-05,0.0002675,1.007
9.7e-06,0.0002832,1.033
1.063e-05,0.0002486,1.004
9.247e-06,0.000228,1.04
7.415e-06,0.0002195,1.071
9.456e-06,0.0002697,1.044
1.03e-05,0.0002385,1.013
1.038e-05,0.0002359,1.017
1.166e-05,0.0002561,1.001
1.126e-05,0.0002452,1
8.633e-06,0.0002388,1.052
8.822e-06,0.0002683,1.047
7.372e-06,0.0002395,1.071
1.303e-05,0.0002398,0.9799
1.04e-05,0.000255,1.02
1.054e-05,0.000261,1.017
9.463e-06,0.000244,1.037
1.202e-05,0.0002326,0.9957
8.521e-06,0.0002291,1.048
8.865e-06,0.0002386,1.04
1.155e-05,0.0002617,1.004
1.119e-05,0.0002604,1.009
8.973e-06,0.0002394,1.046
9.503e-06,0.0002326,1.043
1.039e-05,0.0002314,1.019
8.499e-06,0.0002424,1.05
9.268e-06,0.0002583,1.037
9.261e-06,0.0002518,1.029
8.288e-06,0.0002415,1.046
1.093e-05,0.0002514,1.011
7.884e-06,0.0002498,1.064
1.262e-05,0.0002562,0.9955
1.101e-05,0.0002451,1.01
1.033e-05,0.0002507,1.023
1.062e-05,0.0002375,1.009
1.074e-05,0.0002685,1.015
7.689e-06,0.0002305,1.078
9.68e-06,0.0002398,1.034
8.87e-06,0.0002283,1.043
7.809e-06,0.0002391,1.07
7.301e-06,0.0002358,1.079
8.128e-06,0.0002332,1.059
7.989e-06,0.0002491,1.061
9.969e-06,0.0002346,1.028
1.132e-05,0.0002416,1.002
9.571e-06,0.0002427,1.052
1.093e-05,0.0002476,1.005
9.629e-06,0.0002466,1.038
1.313e-05,0.0002595,0.9696
1.059e-05,0.000236,1.019
8.845e-06,0.0002484,1.05
1.119e-05,0.0002454,1.006
6.083e-06,0.0002472,1.102
1.185e-05,0.0002467,0.9933
1.007e-05,0.000235,1.023
9.152e-06,0.0002446,1.048
1.058e-05,0.0002567,1.012
1.118e-05,0.0002415,1.01
9.573e-06,0.0002381,1.019
9.14e-06,0.0002534,1.045
8.416e-06,0.0002409,1.05
9.271e-06,0.000256,1.036
1.007e-05,0.0002394,1.02
8.571e-06,0.0002412,1.044
1.166e-05,0.0002275,1.001
1.182e-05,0.0002633,1.01
8.445e-06,0.0002422,1.059
9.745e-06,0.0002665,1.04
1.101e-05,0.0002452,1.005
6.958e-06,0.0002473,1.085
8.183e-06,0.0002414,1.059
1.237e-05,0.0002554,0.9801
1.135e-05,0.000257,1
9.145e-06,0.000243,1.046
9.601e-06,0.0002454,1.027
9.945e-06,0.0002552,1.021
1.227e-05,0.000241,0.9882
7.994e-06,0.0002384,1.065
8.312e-06,0.0002396,1.06
8.763e-06,0.0002421,1.042
1.366e-05,0.0002492,0.972
1.226e-05,0.000248,0.9943
8.883e-06,0.0002428,1.044
9.639e-06,0.0002662,1.03
9.931e-06,0.0002305,1.015
9.265e-06,0.0002623,1.038
8.657e-06,0.0002469,1.051
9.662e-06,0.0002424,1.022
1.001e-05,0.0002611,1.019
1.019e-05,0.0002496,1.03
1.149e-05,0.0002517,0.9972
9.985e-06,0.0002524,1.024
1.044e-05,0.0002454,1.001
1.167e-05,0.0002561,1.004
1.393e-05,0.0002506,0.9707
1.074e-05,0.0002486,1.01
1.128e-05,0.0002396,1.01
1.024e-05,0.0002631,1.021
8.828e-06,0.0002346,1.043
8.289e-06,0.0002474,1.058
8.736e-06,0.0002351,1.044
8.993e-06,0.000251,1.048
1.317e-05,0.000246,0.9732
1.015e-05,0.0002433,1.02
