ikoutC,ik12C,ik21C,ik13C,ik31C,iV2C
0.001757599,0.001877331,0.000933713,0.000439477,0.000186719,34.88996402
0.020292155,0.019928923,0.000933713,0.004665295,0.000186719,3.286680324
0.004578312,0.004561952,0.000933713,0.001067938,0.000186719,14.35788897
0.000382847,0.000458079,0.000933713,0.000107235,0.000186719,142.988582
0.002990395,0.002518731,0.000933713,0.000589627,0.000186719,26.00515537
0.001006056,0.001014582,0.000933713,0.00023751,0.000186719,64.55861122
0.00096687,0.000909926,0.000933713,0.000213011,0.000186719,71.98384115
0.005889604,0.005428842,0.000933713,0.001270874,0.000186719,12.06518902
0.001816652,0.001869557,0.000933713,0.000437657,0.000186719,35.03503525
0.001390028,0.001471071,0.000933713,0.000344373,0.000186719,44.5253689
0.002891668,0.00268345,0.000933713,0.000628187,0.000186719,24.40887387
0.001320066,0.001515241,0.000933713,0.000354713,0.000186719,43.22746001
0.004749151,0.003916442,0.000933713,0.000916826,0.000186719,16.72436287
0.006369076,0.006798121,0.000933713,0.001591418,0.000186719,9.635015468
0.001243878,0.001062048,0.000933713,0.000248622,0.000186719,61.67332126
0.000470333,0.000407872,0.000933713,9.55E-05,0.000186719,160.589699
0.001534394,0.001556149,0.000933713,0.000364289,0.000186719,42.09109449
0.002134743,0.002053155,0.000933713,0.000480637,0.000186719,31.90212573
0.002299469,0.002632882,0.000933713,0.000616349,0.000186719,24.87768034
0.000403815,0.000398911,0.000933713,9.34E-05,0.000186719,164.1968863
0.000618164,0.000564308,0.000933713,0.000132103,0.000186719,116.0714424
0.000398238,0.000403172,0.000933713,9.44E-05,0.000186719,162.4615889
0.00088838,0.000955576,0.000933713,0.000223697,0.000186719,68.54502145
0.001277937,0.001405301,0.000933713,0.000328976,0.000186719,46.60922574
0.001065935,0.001095219,0.000933713,0.000256387,0.000186719,59.80537237
0.001561919,0.001421853,0.000933713,0.000332851,0.000186719,46.06663131
0.00663409,0.007159251,0.000933713,0.001675957,0.000186719,9.149001208
0.00017028,0.000176596,0.000933713,4.13E-05,0.000186719,370.9026086
0.005715095,0.006739893,0.000933713,0.001577787,0.000186719,9.718255737
0.000685201,0.000664298,0.000933713,0.00015551,0.000186719,98.60033892
0.008398562,0.007448064,0.000933713,0.001743567,0.000186719,8.794231254
0.00587639,0.005104472,0.000933713,0.00119494,0.000186719,12.83188527
0.00444566,0.00416139,0.000933713,0.000974168,0.000186719,15.73993173
0.005684225,0.007139815,0.000933713,0.001671407,0.000186719,9.173906561
0.002116757,0.002054944,0.000933713,0.000481056,0.000186719,31.87434219
0.004990999,0.004859016,0.000933713,0.00113748,0.000186719,13.4800945
0.001503341,0.001599307,0.000933713,0.000374392,0.000186719,40.95524652
0.000203932,0.00020485,0.000933713,4.80E-05,0.000186719,319.7458621
0.0007485,0.000842092,0.000933713,0.000197131,0.000186719,77.78249118
0.012968091,0.012320356,0.000933713,0.002884155,0.000186719,5.316404943
0.001057785,0.001122071,0.000933713,0.000262673,0.000186719,58.3741936
0.001440933,0.001751271,0.000933713,0.000409967,0.000186719,37.4014028
0.000208864,0.000222539,0.000933713,5.21E-05,0.000186719,294.3307751
0.001235131,0.001088584,0.000933713,0.000254834,0.000186719,60.16989841
0.002383395,0.002530234,0.000933713,0.000592319,0.000186719,25.88693851
0.008120393,0.007669695,0.000933713,0.00179545,0.000186719,8.540104824
0.001957517,0.001806065,0.000933713,0.000422794,0.000186719,36.26668401
0.000499464,0.000510924,0.000933713,0.000119606,0.000186719,128.1990777
0.004799727,0.005105514,0.000933713,0.001195184,0.000186719,12.82926619
0.004083404,0.004428776,0.000933713,0.001036762,0.000186719,14.78963805
0.000679253,0.000641073,0.000933713,0.000150073,0.000186719,102.1724551
0.000600832,0.000690889,0.000933713,0.000161735,0.000186719,94.80539138
0.002628591,0.002618611,0.000933713,0.000613008,0.000186719,25.01326177
0.003084608,0.003258623,0.000933713,0.000762833,0.000186719,20.10051632
0.001957772,0.002567879,0.000933713,0.000601132,0.000186719,25.5074286
0.000469295,0.000560444,0.000933713,0.000131198,0.000186719,116.8715991
0.001925639,0.001782612,0.000933713,0.000417304,0.000186719,36.74382464
0.001367543,0.001429231,0.000933713,0.000334578,0.000186719,45.82885004
0.000334778,0.000313764,0.000933713,7.35E-05,0.000186719,208.755778
0.000874746,0.000728027,0.000933713,0.000170429,0.000186719,89.96922614
0.000569413,0.000495872,0.000933713,0.000116082,0.000186719,132.0906165
0.000299277,0.00028439,0.000933713,6.66E-05,0.000186719,230.3176882
0.002736723,0.002686678,0.000933713,0.000628942,0.000186719,24.37955132
0.002036863,0.002129097,0.000933713,0.000498415,0.000186719,30.76420953
0.001836443,0.001581143,0.000933713,0.00037014,0.000186719,41.4257246
0.001197983,0.001148541,0.000933713,0.00026887,0.000186719,57.02889526
0.00284372,0.003309638,0.000933713,0.000774775,0.000186719,19.79068273
0.001421839,0.001480186,0.000933713,0.000346507,0.000186719,44.2511816
0.003294219,0.004160113,0.000933713,0.000973869,0.000186719,15.74476318
0.00123101,0.0012871,0.000933713,0.000301306,0.000186719,50.88958421
0.003982473,0.005414309,0.000933713,0.001267472,0.000186719,12.09757241
0.002773884,0.002458309,0.000933713,0.000575482,0.000186719,26.64433075
0.000372701,0.000408938,0.000933713,9.57E-05,0.000186719,160.1710274
0.002592881,0.002781634,0.000933713,0.000651171,0.000186719,23.54731119
0.003941039,0.004108916,0.000933713,0.000961884,0.000186719,15.9409444
0.001040935,0.000996228,0.000933713,0.000233214,0.000186719,65.74798077
0.054716879,0.051988932,0.000933713,0.012170437,0.000186719,1.259883553
0.001766912,0.001699246,0.000933713,0.000397788,0.000186719,38.54651193
0.001388984,0.001513551,0.000933713,0.000354317,0.000186719,43.27571752
0.00012013,0.000142748,0.000933713,3.34E-05,0.000186719,458.849416
0.003308825,0.00353369,0.000933713,0.000827225,0.000186719,18.53586461
0.004646856,0.004613164,0.000933713,0.001079926,0.000186719,14.19849838
0.000136035,0.00015236,0.000933713,3.57E-05,0.000186719,429.903922
0.001229355,0.001267692,0.000933713,0.000296763,0.000186719,51.66870199
0.00164581,0.001914221,0.000933713,0.000448113,0.000186719,34.21757901
0.001054584,0.001080284,0.000933713,0.000252891,0.000186719,60.6322207
0.003089261,0.003117351,0.000933713,0.000729761,0.000186719,21.01143161
0.006967898,0.007246079,0.000933713,0.001696283,0.000186719,9.039371311
0.000778927,0.000811627,0.000933713,0.000189999,0.000186719,80.7021331
0.002043243,0.001723777,0.000933713,0.000403531,0.000186719,37.99794917
0.002253444,0.002121428,0.000933713,0.000496619,0.000186719,30.87542704
0.008977138,0.008134359,0.000933713,0.001904227,0.000186719,8.052263097
0.004044344,0.004579632,0.000933713,0.001072077,0.000186719,14.30245827
0.001110555,0.001116305,0.000933713,0.000261323,0.000186719,58.67569819
